0,Name,Address,Latitude,Longitude
1,3501 1st Avenue,"3501 1st Ave, San Diego",32.741583,-117.163722
2,Strauss on Fifth,"3534 5th Ave, San Diego",32.742218,-117.160729
3,Hillcrest Inn,"3754 5th Ave, San Diego",32.74653532227004,-117.1605153771678
4,nan,"3705 10th Ave, San Diego",32.745608,-117.154962
5,nan,"2104-2106 Abbott St, San Diego",32.7527866,-117.2486472
6,nan,"4122-4128 Bannock Ave, San Diego",32.831528,-117.200531
7,Village North Senior Garden Apartments,"7720 Belden St, San Diego",32.8106853877551,-117.15708667346938
8,nan,"4503 Bond St, San Diego",32.804313,-117.22047
9,Windwood Village,"12730 Briarcrest Pl, San Diego",32.95101157142857,-117.20101332653061
10,The Stratton Apartments,"3884 Caminito Aguilar, San Diego",32.81695645056089,-117.17698659165396
11,Chandon Village,"14350 Camino De La Luna, San Diego",32.984624,-117.165408
12,Cielo Carmel,"6050 Camino San Fermin, San Diego",32.956155,-117.192681
13,Torrey Del Mar Apartments,"13863 Carmel Valley Rd, San Diego",32.970044,-117.159516
14,Pacific Beach Shores,"4820 Cass St, San Diego",32.802623,-117.253756
15,Centre Street Lofts,"3761-3771 Centre St, San Diego",32.747075103921254,-117.14815619065459
16,Mirada at La Jolla Colony,"7568 Charmant Dr, San Diego",32.865564155348046,-117.22650762139216
17,Cerro Pueblo,"2835 Clairemont Ct, San Diego",32.79151157142857,-117.19783132653062
18,nan,"2565 Clairemont Dr, San Diego",32.790072,-117.204944
19,Alexan Camellia,"4888 Convoy St, San Diego",32.83057430646315,-117.15334302847485
20,Sorrento Tower,"2875 Cowley Way, San Diego",32.793849,-117.191089
21,Diamond St 4 units,"1065 Diamond St, San Diego",32.800223,-117.251175
22,nan,"1976 Diamond St, San Diego",33.10193904827913,-117.21843452400192
23,nan,"2240 W Dunlop St, San Diego",32.784395,-117.167518
24,7105-20 Eastman Street,"7095-7105 Eastman St, San Diego",32.79012387984469,-117.16813720117011
25,nan,"12643-12687 El Camino Real, San Diego",32.94755421608179,-117.23716486792375
26,The Fort,"1011 Fort Stockton Dr, San Diego",32.750645,-117.172594
27,7526-80 Fulton Street,"7526-7580 Fulton St, San Diego",32.789631,-117.163902
28,nan,"2615-2665 Genesee Ave, San Diego",32.79117401798299,-117.16358574750876
29,Mission Apartments,"1825 Hancock St, San Diego",32.74281294385632,-117.18530214556012
30,The Orchard,"4040-4080 Hancock St, San Diego",32.75550785510643,-117.21699695796768
31,The Blend,"1956 Hornblend St, San Diego",32.800638,-117.233903
32,La Jolla Crossroads,"9085 Judicial Dr, San Diego",32.872325,-117.202722
33,Mira Bella Luxury Apartments,"3455 Kearny Villa Rd, San Diego",32.8066546,-117.14934368712107
34,nan,"6496 Lanston St, San Diego",32.787521,-117.178744
35,Lauretta Landing,"5526 Lauretta St, San Diego",32.767444,-117.193045
36,Mercy Gardens,"540 Lewis St, San Diego",32.752391,-117.159231
37,Pacific Ridge,"5945 Linda Vista Rd, San Diego",32.770757885685086,-117.18697402871283
